date,open,high,low,close,preclose,volume,amount,pctChg
2019-12-11,9905.912,9921.653,9829.111,9852.713,9915.865,26992696064,290872061952.0,-0.636878
2019-12-12,9862.432,9887.563,9824.414,9836.234,9852.713,25620433920,282826104832.0,-0.167253
2019-12-13,9923.787,10014.207,9907.757,10004.624,9836.234,29423216896,331559526400.0,1.711936
2019-12-16,10040.261,10158.241,10015.451,10158.241,10004.624,35269837056,384950669312.0,1.53546
2019-12-17,10157.425,10350.65,10148.685,10306.031,10158.241,42526445056,449518452736.0,1.454878
2019-12-18,10299.05,10365.163,10266.638,10294.66,10306.031,38019602688,408804495360.0,-0.110333
2019-12-19,10298.505,10316.773,10254.945,10296.291,10294.66,34776409856,357649481728.0,0.015843
2019-12-20,10305.097,10343.069,10229.097,10229.486,10296.291,34563747328,347283566592.0,-0.648826
2019-12-23,10202.229,10248.803,10050.408,10056.208,10229.486,30906494208,318740807680.0,-1.693907
2019-12-24,10080.367,10190.04,10065.554,10189.285,10056.208,26459523072,274957312000.0,1.323332
2019-12-25,10176.721,10255.203,10170.209,10229.578,10189.285,29114010880,313596682240.0,0.395445
2019-12-26,10239.758,10303.715,10221.336,10303.715,10229.578,29341361408,308029554688.0,0.724732
2019-12-27,10326.52,10377.944,10226.619,10233.772,10303.715,35237195264,373921153024.0,-0.678813
2019-12-30,10203.815,10365.957,10133.881,10365.957,10233.772,32315298304,343648903168.0,1.291655
2019-12-31,10360.783,10433.293,10352.888,10430.766,10365.957,28265453568,305896046592.0,0.62521
2020-01-02,10509.124,10663.554,10479.773,10638.824,10430.766,39325746944,424347406336.0,1.994657
2020-01-03,10666.655,10689.591,10594.357,10656.406,10638.824,37418270208,405405339648.0,0.165263
2020-01-06,10599.411,10799.579,10577.782,10698.273,10656.406,43964164608,472892674048.0,0.392881
2020-01-07,10725.177,10829.045,10723.857,10829.045,10698.273,41449962752,444165763072.0,1.222366
2020-01-08,10776.707,10851.281,10681.024,10706.868,10829.045,46250691072,472740642816.0,-1.128234
2020-01-09,10807.037,10899.482,10807.037,10898.166,10706.868,39659111424,434903322624.0,1.786685
2020-01-10,10927.981,10933.805,10833.519,10879.842,10898.166,35568971264,398600765440.0,-0.168138
2020-01-13,10893.995,11040.201,10851.719,11040.201,10879.842,34527366400,409505554432.0,1.473909
2020-01-14,11074.886,11086.808,10983.415,10988.767,11040.201,37729812224,430400618496.0,-0.465879
2020-01-15,10978.281,11001.805,10882.787,10972.316,10988.767,33123327232,378160533504.0,-0.149707
2020-01-16,10986.648,11008.208,10934.724,10967.435,10972.316,31796837376,375957684224.0,-0.044485
2020-01-17,11001.677,11045.25,10927.84,10954.388,10967.435,30482010368,365143216128.0,-0.118961
2020-01-20,10981.504,11115.884,10936.803,11115.884,10954.388,33062551296,408001032192.0,1.474259
2020-01-21,11077.657,11078.039,10948.576,10953.413,11115.884,33854080512,404258430976.0,-1.461611
2020-01-22,10896.554,11105.69,10761.676,11072.057,10953.413,35209008128,429531267072.0,1.083169
2020-01-23,10947.857,11025.995,10572.265,10681.904,11072.057,40289425920,481547538432.0,-3.523763
2020-02-03,9706.579,9934.349,9706.579,9779.668,10681.904,19544992256,262459731968.0,-8.446397
2020-02-04,9578.866,10095.69,9578.866,10089.666,9779.668,51156007936,536037347328.0,3.169821
2020-02-05,10159.552,10445.093,10148.243,10305.498,10089.666,45467182592,523099590656.0,2.139139
2020-02-06,10306.115,10633.165,10214.811,10601.342,10305.498,48110943488,554856050688.0,2.870739
2020-02-07,10569.652,10629.149,10441.903,10611.551,10601.342,48961955840,567200989184.0,0.096299
2020-02-10,10577.557,10730.053,10551.538,10728.459,10611.551,47089083648,544274325504.0,1.101705
2020-02-11,10749.973,10839.185,10678.106,10768.627,10728.459,41781519104,483068698624.0,0.374406
2020-02-12,10735.047,10944.629,10724.084,10940.795,10768.627,42014176256,492545458176.0,1.598792
2020-02-13,10936.501,10988.231,10820.917,10864.322,10940.795,45529039872,536585011200.0,-0.698971
2020-02-14,10854.455,11017.645,10822.133,10916.311,10864.322,41709336832,504892465152.0,0.47853
2020-02-17,10974.932,11241.499,10974.932,11241.499,10916.311,48111496448,570188828672.0,2.978918
2020-02-18,11244.765,11306.486,11143.387,11306.486,11241.499,52809083648,624947511296.0,0.578099
2020-02-19,11300.161,11387.992,11229.551,11235.595,11306.486,53776285184,657484296192.0,-0.626994
2020-02-20,11278.874,11519.073,11248.902,11509.087,11235.595,55171062016,654664638464.0,2.434157
2020-02-21,11506.673,11727.888,11493.632,11629.698,11509.087,60039173376,725971468288.0,1.047963
2020-02-24,11620.631,11809.749,11548.409,11772.375,11629.698,62054634752,770457501696.0,1.226833
2020-02-25,11537.553,11869.406,11350.275,11856.081,11772.375,73050583040,902187397120.0,0.711037
2020-02-26,11677.628,11770.508,11453.686,11497.553,11856.081,68651309824,817348521984.0,-3.024001
2020-02-27,11555.818,11684.497,11401.323,11534.018,11497.553,55169482496,654632005632.0,0.317154
2020-02-28,11150.659,11338.349,10962.242,10980.774,11534.018,61089043712,696848228352.0,-4.796629
2020-03-02,11115.459,11457.416,11053.288,11381.761,10980.774,53240554752,632086433792.0,3.651719
2020-03-03,11597.663,11734.177,11378.763,11484.211,11381.761,60166615296,728950349824.0,0.900124
2020-03-04,11411.597,11501.796,11273.263,11493.021,11484.211,51334824704,602117062656.0,0.076714
2020-03-05,11644.407,11739.836,11521.293,11711.372,11493.021,59305420288,689195540480.0,1.899857
2020-03-06,11555.458,11690.2,11541.781,11582.815,11711.372,53885673984,580104347648.0,-1.097711
2020-03-09,11363.7949,11407.4723,11100.9134,11108.548,11582.8159,58473479978,648077340380.921,-4.094582
2020-03-10,11016.9238,11406.3047,10916.9461,11403.4665,11108.548,58135515476,656502529541.384,2.654879
2020-03-11,11436.4378,11444.7814,11197.0928,11200.0502,11403.4665,52958021967,594063173445.308,-1.783811
2020-03-12,11022.4012,11070.4066,10842.3807,10941.0135,11200.0502,46570794670,509406994353.357,-2.312817
2020-03-13,10382.2213,10956.5086,10380.1711,10831.125,10939.4658,52900453782,573701912360.678,-0.990366
2020-03-16,10867.6626,10867.6626,10217.9324,10253.2846,10831.125,52048261524,587677958038.183,-5.334999
2020-03-17,10337.9189,10449.3274,9885.8614,10202.7534,10253.2846,44916428758,495073156439.948,-0.492829
2020-03-18,10294.9555,10479.7831,10029.5687,10029.5687,10202.7534,45258080567,518373879323.704,-1.697431
2020-03-19,10023.121,10101.8034,9719.4923,10019.8582,10029.5687,43223774821,491949299374.194,-0.096819
2020-03-20,10150.784,10174.5088,9964.2858,10150.1252,10019.8582,38004697447,435458534975.141,1.300088
2020-03-23,9828.8987,9929.9636,9659.348,9691.5337,10150.1252,38811461512,418985613298.088,-4.518087
2020-03-24,9900.2203,9945.9199,9634.9677,9921.6831,9691.5337,39835928443,433528584902.372,2.374747
2020-03-25,10171.4653,10255.579,10111.3621,10241.0761,9921.6831,41683938177,458152117849.072,3.219141
2020-03-26,10161.9422,10281.5724,10112.6202,10155.3593,10241.0761,37299227467,394186890299.407,-0.83699
2020-03-27,10300.6192,10310.5324,10105.7185,10109.9066,10155.3593,34500987545,380281699833.027,-0.447574
2020-03-30,9953.0364,9985.3789,9791.0227,9904.9511,10109.9066,35663136928,382440662636.96,-2.027274
2020-03-31,10008.0257,10047.9784,9925.6798,9962.3047,9904.9511,31534832328,337468972411.754,0.57904
2020-04-01,9967.1158,10127.097,9927.9208,9951.8367,9962.3047,33307952567,359216781570.294,-0.105076
2020-04-02,9910.3773,10179.2045,9896.6464,10179.2045,9951.8367,32820076188,364617023206.519,2.284682
2020-04-03,10155.5629,10212.9087,10069.644,10110.1129,10179.2045,32003127097,358276718557.788,-0.678752
2020-04-07,10312.7148,10441.7414,10296.7194,10428.9132,10110.1129,40185831806,445455425342.445,3.153281
2020-04-08,10372.7625,10426.4015,10344.4419,10386.5453,10428.9132,39687723477,420856344171.424,-0.406254
2020-04-09,10453.8559,10485.2968,10401.1705,10463.0463,10386.5453,37741883171,405778525241.548,0.736539
2020-04-10,10459.6992,10509.0039,10265.884,10298.4127,10463.0463,39477343661,425685347698.127,-1.573477
2020-04-13,10225.5297,10295.1687,10173.1226,10223.1633,10298.4127,29803433754,314914999773.014,-0.730689
2020-04-14,10300.9622,10475.7052,10276.365,10475.7052,10223.1633,32983875791,365721826479.984,2.470291
2020-04-15,10468.4629,10528.7349,10404.5092,10417.3744,10475.7052,37919930676,409439234958.214,-0.55682
2020-04-16,10361.7653,10489.1342,10346.1096,10470.7936,10417.3744,34870380920,372555755332.69,0.512789
2020-04-17,10562.8976,10624.5417,10507.8024,10527.9907,10470.7936,40149237971,460267368501.466,0.546254
2020-04-20,10553.5476,10621.4968,10523.5916,10621.4968,10527.9907,34015623714,383529246109.03,0.888167
2020-04-21,10577.7187,10577.7187,10394.4398,10506.8566,10621.4968,35933329193,400623067994.969,-1.079322
2020-04-22,10424.4501,10617.1925,10409.8521,10617.1925,10506.8566,34484857059,373179059514.55,1.050132
2020-04-23,10657.3995,10667.0113,10557.9433,10564.0458,10617.1925,38280972869,407896394021.008,-0.500572
2020-04-24,10565.0868,10577.0288,10388.6613,10423.4622,10564.0458,37291139586,381097203000.17,-1.330774
2020-04-27,10449.1265,10531.3918,10367.2922,10452.1708,10423.4622,32036978713,331351587770.76,0.275423
2020-04-28,10477.7614,10547.7453,10194.1515,10501.1471,10452.1708,38469152976,403372452600.11,0.468575
2020-04-29,10460.9947,10586.5717,10449.3732,10514.1731,10501.1471,29023198868,310081884005.88,0.124044
2020-04-30,10575.5242,10751.7477,10575.5242,10721.7796,10514.1731,34810253127,401656708729.99,1.974539
2020-05-06,10618.1651,10884.34,10613.8877,10883.2183,10721.7796,35016317908,417220851949.89,1.505708
2020-05-07,10899.9169,10926.827,10832.0925,10863.2853,10883.2183,34587889048,398621132823.55,-0.183154
2020-05-08,10923.6123,11054.3142,10904.8842,11001.5794,10863.2853,35434789069,410902382069.31,1.273041
2020-05-11,11053.8157,11096.2844,10902.6048,10969.2819,11001.5794,34932753998,412801067084.01,-0.293571
2020-05-12,10972.0503,11018.9255,10871.6142,11015.5584,10969.2819,30928583190,360877809665.51,0.421874
2020-05-13,10978.3114,11096.6155,10954.691,11074.5925,11015.5584,29883684044,357566915907.02,0.535916
2020-05-14,11026.712,11047.3764,10955.5382,10962.1473,11074.5925,32504079061,372773922227.09,-1.015344
2020-05-15,11013.1554,11039.6783,10919.5404,10964.892,10962.1473,31714461969,380063225005.48,0.025038
2020-05-18,10969.0815,11017.4992,10858.4554,10921.1453,10964.892,36207888258,442713632746.42,-0.398971
2020-05-19,11023.428,11052.8476,10978.7168,11052.8476,10921.1453,31011385021,385245479768.3,1.205939
2020-05-20,11056.977,11056.977,10914.7543,10948.4771,11052.8476,34539737800,417524221201.2,-0.944286
2020-05-21,10999.0702,11007.1445,10818.7857,10845.3964,10948.4771,32124994307,375610196357.6,-0.941507
2020-05-22,10832.9134,10832.9134,10559.2977,10604.9659,10845.3964,29971897348,347490133244.33,-2.21689
2020-05-25,10602.4707,10629.6106,10532.8617,10592.8444,10604.9659,24158753245,288513613801.4,-0.1143
2020-05-26,10655.9833,10816.7095,10647.2506,10815.4306,10592.8444,27086420713,322629338262.19,2.101288
