date,open,high,low,close,volume,amount,turn,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
2013-08-21,6.55222249,6.56401767,6.41068033,6.44606587,39480926,432670080.0,0.223484,-0.9066,4.895834,1.11062,1.960287,-2.120604
2013-08-22,6.4283731,6.57581285,6.41657792,6.43427069,46575028,512270688.0,0.26364,-0.183,4.886876,1.108588,1.9567,-2.116723
2013-08-23,6.4283731,6.48145141,6.10400565,6.22785504,118158969,1255450624.0,0.668845,-3.2081,4.730102,1.073023,1.893928,-2.048817
2013-08-26,6.19836709,6.31631889,6.11580083,6.3104213,132250073,1391616256.0,0.748608,1.3258,4.792811,1.087249,1.919037,-2.07598
2013-08-27,6.2514454,6.3104213,6.20426468,6.28683094,103525523,1096806144.0,0.586011,-0.3738,4.774894,1.083185,1.911863,-2.068219
2013-09-05,6.4310852,6.461137,6.37699196,6.40704376,117901460,1260903552.0,0.571534,1.912,5.430563,1.231923,2.174392,-2.352219
2013-09-06,6.38901268,6.58735456,6.37699196,6.54528204,81162153,872375296.0,0.393438,2.1576,5.547733,1.258503,2.221307,-2.40297
2013-09-09,6.6414478,7.02010048,6.61740636,6.95999688,226690991,2589324288.0,1.098898,6.3361,5.899243,1.338243,2.362051,-2.555224
2013-09-10,6.95999688,7.06818336,6.87585184,6.99004868,138818280,1611118464.0,0.67293,0.4318,5.924714,1.344021,2.37225,-2.566257
2013-09-11,6.97802796,7.11626624,6.92994508,6.98403832,136234354,1589758704.0,0.660404,-0.086,5.91962,1.342865,2.37021,-2.564051
2013-09-12,6.97802796,7.32662884,6.89989328,7.15833876,192631522,2285151056.0,0.933792,2.4957,6.067356,1.376379,2.429363,-2.628042
2013-09-13,7.12828696,7.23046308,7.03813156,7.10424552,114843023,1360865440.0,0.556708,-0.7557,6.021507,1.365979,2.411005,-2.608182
2013-09-16,7.20041128,7.212432,6.911914,7.0020694,105856388,1237443680.0,0.513145,-1.4382,5.934903,1.346332,2.376329,-2.570671
2013-09-17,7.062173,7.062173,6.71958248,6.72559284,110665606,1258523712.0,0.536458,-3.9485,5.700563,1.293173,2.2825,-2.469168
2013-09-18,6.761655,6.80372752,6.65947888,6.7015514,67293585,757308656.0,0.32621,-0.3575,5.680186,1.28855,2.274341,-2.460341
2013-09-23,6.73761356,6.81574824,6.65947888,6.72559284,79801735,893657024.0,0.386844,0.3587,5.700563,1.293173,2.2825,-2.469168
2013-09-24,6.7316032,6.7316032,6.50320952,6.53927168,82797426,905216784.0,0.401365,-2.7703,5.542639,1.257347,2.219267,-2.400764
2013-09-25,6.53927168,6.64745816,6.49719916,6.51523024,65975845,719786128.0,0.319822,-0.3676,5.522262,1.252725,2.211108,-2.391937
2013-09-26,6.50320952,6.50921988,6.37699196,6.46714736,60827755,650682192.0,0.294866,-0.738,5.481507,1.24348,2.19479,-2.374285
2013-09-27,6.44911628,6.49719916,6.4310852,6.4911888,34902841,375127104.0,0.169194,0.3717,5.501884,1.248102,2.202949,-2.383111
2013-09-30,6.53927168,6.59336492,6.51523024,6.56331312,42535131,464022336.0,0.206192,1.1111,5.563016,1.26197,2.227426,-2.40959
2013-10-08,6.56932348,6.58735456,6.43709556,6.55730276,49739786,540080432.0,0.241116,-0.0916,5.712031,1.295774,2.287091,-2.474135
2013-10-09,6.5512924,6.6714996,6.50320952,6.58735456,49703417,544836800.0,0.24094,0.4583,5.738209,1.301712,2.297573,-2.485473
2013-10-10,6.58735456,6.59336492,6.44310592,6.47916808,50014868,541470736.0,0.24245,-1.6423,5.643968,1.280334,2.259839,-2.444654
2013-10-11,6.54528204,6.62341672,6.49719916,6.57533384,74539537,814697872.0,0.361335,1.4842,5.727737,1.299337,2.29338,-2.480938
2013-10-14,6.5813442,6.59937528,6.46714736,6.4911888,62165189,674276672.0,0.301349,-1.2797,5.654439,1.282709,2.264032,-2.449189
2013-10-15,6.50921988,6.5212406,6.4310852,6.44911628,57593115,619820032.0,0.279186,-0.6481,5.61779,1.274395,2.249357,-2.433315
2013-10-16,6.44911628,6.50320952,6.41906448,6.44911628,51254152,550416976.0,0.248457,0.0,5.61779,1.274395,2.249357,-2.433315
2013-10-17,6.47916808,6.4911888,6.36497124,6.3709816,45498178,486115184.0,0.220555,-1.2116,5.549727,1.258955,2.222105,-2.403834
2013-10-18,6.38901268,6.44310592,6.3709816,6.38901268,32417605,345615776.0,0.157146,0.283,5.565434,1.262518,2.228394,-2.410637
2013-10-21,6.38901268,6.4911888,6.3409298,6.46714736,48094672,513801824.0,0.233142,1.223,5.633497,1.277958,2.255646,-2.440118
2013-10-22,6.45512664,6.46714736,6.3709816,6.38901268,41517120,442237056.0,0.201257,-1.2082,5.565434,1.262518,2.228394,-2.410637
2013-10-23,6.41906448,6.5512924,6.38901268,6.41906448,64499410,693735312.0,0.312665,0.4704,5.591612,1.268457,2.238876,-2.421976
2013-10-24,6.41906448,6.461137,6.3709816,6.38901268,52902784,563986320.0,0.256449,-0.4682,5.565434,1.262518,2.228394,-2.410637
2013-10-25,6.3709816,6.47916808,6.3409298,6.37699196,64707867,690208816.0,0.313675,-0.1881,5.554963,1.260143,2.224202,-2.406102
